DEBUG flower 2022-12-21 17:22:14,542 | server.py:165 | evaluate_round 54: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:22:51,043 | server.py:179 | evaluate_round 54 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:22:51,043 | server.py:215 | fit_round 55: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:26:58,048 | server.py:229 | fit_round 55 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:26:58,050 | server.py:165 | evaluate_round 55: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:27:34,593 | server.py:179 | evaluate_round 55 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:27:34,594 | server.py:215 | fit_round 56: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:31:12,164 | server.py:229 | fit_round 56 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:31:12,166 | server.py:165 | evaluate_round 56: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:31:46,745 | server.py:179 | evaluate_round 56 received 1 results and 1 failures
DEBUG flower 2022-12-21 17:31:49,342 | server.py:215 | fit_round 57: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:34:36,233 | server.py:229 | fit_round 57 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:34:36,235 | server.py:165 | evaluate_round 57: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:35:10,881 | server.py:179 | evaluate_round 57 received 1 results and 1 failures
DEBUG flower 2022-12-21 17:35:12,963 | server.py:215 | fit_round 58: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:37:56,383 | server.py:229 | fit_round 58 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:37:56,385 | server.py:165 | evaluate_round 58: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:38:31,555 | server.py:179 | evaluate_round 58 received 1 results and 1 failures
DEBUG flower 2022-12-21 17:38:33,948 | server.py:215 | fit_round 59: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:41:40,771 | server.py:229 | fit_round 59 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:41:40,774 | server.py:165 | evaluate_round 59: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:42:12,150 | server.py:179 | evaluate_round 59 received 1 results and 1 failures
DEBUG flower 2022-12-21 17:42:14,232 | server.py:215 | fit_round 60: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:44:50,797 | server.py:229 | fit_round 60 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:44:50,799 | server.py:165 | evaluate_round 60: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:45:21,765 | server.py:179 | evaluate_round 60 received 1 results and 1 failures
DEBUG flower 2022-12-21 17:45:24,132 | server.py:215 | fit_round 61: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:48:09,786 | server.py:229 | fit_round 61 received 2 results and 0 failures
DEBUG flower 2022-12-21 17:48:09,788 | server.py:165 | evaluate_round 61: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:48:35,683 | server.py:179 | evaluate_round 61 received 1 results and 1 failures
DEBUG flower 2022-12-21 17:48:38,031 | server.py:215 | fit_round 62: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 17:50:53,829 | server.py:229 | fit_round 62 received 2 results and 0 failures
