DEBUG flwr 2023-04-13 06:01:59,588 | server.py:215 | fit_round 46: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:02:49,841 | server.py:229 | fit_round 46 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:02:49,875 | server.py:165 | evaluate_round 46: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:06:07,468 | server.py:179 | evaluate_round 46 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:06:07,468 | server.py:215 | fit_round 47: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:06:51,391 | server.py:229 | fit_round 47 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:06:51,423 | server.py:165 | evaluate_round 47: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:09:51,464 | server.py:179 | evaluate_round 47 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:09:51,465 | server.py:215 | fit_round 48: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:10:35,709 | server.py:229 | fit_round 48 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:10:35,741 | server.py:165 | evaluate_round 48: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:13:35,106 | server.py:179 | evaluate_round 48 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:13:35,106 | server.py:215 | fit_round 49: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:14:18,945 | server.py:229 | fit_round 49 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:14:18,976 | server.py:165 | evaluate_round 49: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:17:17,770 | server.py:179 | evaluate_round 49 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:17:17,770 | server.py:215 | fit_round 50: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:18:01,596 | server.py:229 | fit_round 50 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:18:01,628 | server.py:165 | evaluate_round 50: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:21:00,508 | server.py:179 | evaluate_round 50 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:21:00,508 | server.py:215 | fit_round 51: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:21:45,198 | server.py:229 | fit_round 51 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:21:45,230 | server.py:165 | evaluate_round 51: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:24:46,927 | server.py:179 | evaluate_round 51 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:24:46,929 | server.py:215 | fit_round 52: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:25:32,978 | server.py:229 | fit_round 52 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:25:33,026 | server.py:165 | evaluate_round 52: strategy sampled 34 clients (out of 34)
